Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
   RuntimeBroker.exe	< 0.01	21,420 K	36,280 K	20668	Runtime Broker	Microsoft Corporation
   dllhost.exe		1,588 K	13,492 K	21828	COM Surrogate	Microsoft Corporation
   SearchApp.exe	Suspended	356,560 K	148,928 K	20564	Search application	Microsoft Corporation
   smartscreen.exe		12,504 K	28,800 K	24708	Windows Defender SmartScreen	Microsoft Corporation
   WmiPrvSE.exe		6,532 K	15,468 K	21196		
   SppExtComObj.Exe		1,936 K	8,944 K	4728		
  WUDFHost.exe		5,636 K	9,216 K	940		
  svchost.exe	< 0.01	19,808 K	51,768 K	1104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,984 K	17,412 K	1180	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	1,712 K	13,108 K	1440	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,124 K	11,828 K	1448	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,796 K	20,488 K	1552	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,152 K	16,856 K	1560	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,168 K	35,780 K	1648	Host Process for Windows Services	Microsoft Corporation
   QLBController.exe	< 0.01	3,760 K	9,496 K	7736		
   MicTray64.exe	< 0.01	2,472 K	4,412 K	7772		
   taskhostw.exe		8,424 K	14,212 K	7780	Host Process for Windows Tasks	Microsoft Corporation
   Creative Cloud.exe	< 0.01	145,976 K	17,360 K	7944	Creative Cloud Desktop	Adobe Inc.
    Adobe Desktop Service.exe	< 0.01	65,532 K	16,056 K	9744	Creative Cloud	Adobe Inc.
     Creative Cloud Helper.exe		11,896 K	7,488 K	12384	Creative Cloud Helper	Adobe Inc.
     Creative Cloud Helper.exe		13,668 K	6,380 K	2904	Creative Cloud Helper	Adobe Inc.
     CoreSync.exe	< 0.01	12,160 K	8,292 K	6744	Core Sync	
    Adobe CEF Helper.exe	< 0.01	12,868 K	3,208 K	8572	Adobe CEF Helper	Adobe Inc.
    Adobe CEF Helper.exe		39,344 K	4,048 K	9532	Adobe CEF Helper	Adobe Inc.
